#RANDOMICOS
#Tamanho	 Tempo		 Comparacao	 trocas
100		 0.000002	780		1360
1000		 0.000022	11767		21334
10000		 0.000181	155398		288596
50000		 0.000701	989879		1857558
100000		 0.001348	2758825		5195450
